name,address,price,category,rating,url
할매집,"종로구 사직로 12길 1-5, Seoul, 03169, 한국",₩ (저렴),한식,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/halmaejip
톡톡,"강남구 학동로 97길 41, 3층, Seoul, 06072, 한국",₩₩ (보통),컨템퍼러리,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/toc-toc
호라파,"종로구 자하문로 37-1, 2층, Seoul, 03040, 한국",₩ (저렴),타이,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/horapa
구복만두,"용산구 두텁바위로 7, Seoul, 04335, 한국",₩ (저렴),딤섬,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/goobok-mandu
벽제갈비,"송파구 양재대로 71길 1-4, Seoul, 05639, 한국",₩₩₩ (다소 고가),바비큐,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/byeokje-galbi
면서울,"강남구 선릉로 805, Seoul, 06019, 한국",₩ (저렴),국수,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/myeon-seoul
콘티넨탈,"중구 동호로 249, 신라호텔 23층, Seoul, 04605, 한국",₩₩₩₩ (고가),프렌치,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/continental
평양면옥,"중구 장충단로 207, Seoul, 04615, 한국",₩ (저렴),냉면,Small Shop,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/pyeongyang-myeonok
쉐시몽,"용산구 회나무로 66 B동 3층, Seoul, 04003, 한국",₩₩ (보통),프렌치,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/chez-simon
옳음,"강남구 선릉로 152길 37, 3층, Seoul, 06016, 한국",₩₩₩₩ (고가),컨템퍼러리,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/olh-eum
스시 마츠모토,"강남구 도산대로 75길 24, Seoul, 06015, 한국",₩₩₩₩ (고가),스시,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sushi-matsumoto-1195338
에빠뉘,"강남구 선릉로 146길 33, 3층, Seoul, 06064, 한국",₩₩₩ (다소 고가),프렌치,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/epanoui
사루카메,"마포구 연남로 15, Seoul, 03990, 한국",₩ (저렴),라멘,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sarukame
하쿠시,"강남구 언주로 157길 8-4, 2, Seoul, 한국",₩₩₩₩ (고가),일식,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hakusi
산로,"강남구 도산대로 518, 2층, Seoul, 06070, 한국",₩₩₩₩ (고가),일식,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sanro
곰바위,"강남구 영동대로 115길 10, Seoul, 06087, 한국",₩₩ (보통),바비큐,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gom-ba-wie
스와니예,"강남구 강남대로 652 신사스퀘어 2층 201호, Seoul, 06027, 한국",₩₩₩₩ (고가),이노베이티브,2 Stars,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/soigne
마테르,"강남구 언주로 154길 16 지하 1층, Seoul, 06021, 한국",₩₩ (보통),"컨템퍼러리, 스칸디나비안","0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mater-1210122
필동면옥,"중구 서애로 26, Seoul, 04624, 한국",₩ (저렴),냉면,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/pildong-myeonok
이문설농탕,"종로구 우정국로 38-13, Seoul, 03149, 한국",₩ (저렴),설렁탕,Small Shop,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/imun-seolnongtang
뛰뚜아멍,"성동구 광나루로 11길 20, Seoul, 04801, 한국",₩₩₩₩ (고가),프렌치,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tutoiement
이치류,"마포구 잔다리로 3안길 44, Seoul, 04043, 한국",₩ (저렴),바비큐,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/ichiryu
이스트,"강남구 언주로 170길 26-6, 3층, Seoul, 06017, 한국",₩₩₩ (다소 고가),컨템퍼러리,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/y-east
